Date,Time,Room,Title,Summary,Experiment,Keywords,Interest,Type,Confidence,Unknown Terms
2024-08-29 17:36:21,2024-08-29 17:36:21,,Chiral oscillations in quantum field theory,"The paper discusses chiral oscillations in Dirac particles using a quantum field theory approach, drawing parallels to flavor mixing and oscillations, especially in neutrinos.",,"['chiral oscillations', 'quantum field theory', 'Dirac particles', 'neutrinos', 'flavor mixing']",1,,0.8,[]
2024-08-29 17:32:53,2024-08-29 17:32:53,,Bounds on the minimum sound speed above neutron star densities,"The study establishes upper bounds on the sound speed of ultra-dense matter in neutron stars, linking it to their maximum mass and QCD properties.",,"['neutron stars', 'sound speed', 'QCD', 'phase transitions', 'asymptotic freedom']",1,,0.8,[]
2024-08-29 16:26:32,2024-08-29 16:26:32,,"On Nucleon ""Radii""",The study critiques the geometric interpretations of nucleon radii and describes the gluon cloud's role in nucleon-nucleon interactions at high energy.,,"['nucleon', 'radii', 'gluons', 'scattering', 'Gribov parton scheme']",1,,0.8,[]
2024-08-29 16:22:15,2024-08-29 16:22:15,,Cold Quark Matter: Renormalization Group Improvement at next-to-next-to leading order,The work discusses an improved calculation of QCD pressure at zero temperature and baryonic densities using renormalization group optimized perturbation theory.,,"['QCD', 'pressure', 'renormalization group', 'perturbation theory', 'baryonic densities']",1,,0.7,[]
2024-08-29 15:57:37,2024-08-29 15:57:37,,Measurement of the Decay $Ξ^{0}\toΛγ$ with Entangled $Ξ^{0}\barΞ^{0}$ Pairs,"The study measures the decay of \\Xi^{0} to \\Lambda\\gamma, determining its branching fraction and decay asymmetry, providing insights into weak radiative hyperon decays.",,"['weak decays', 'hyperons', 'branching fraction', 'asymmetry parameter', 'CP symmetry']",1,,0.7,[]
2024-08-29 15:52:50,2024-08-29 15:52:50,,Study of the rare decay $J/ψ\to μ^+μ^-μ^+μ^-$,"The study reports the observation and measurement of the rare decay J/ψ → μ⁺μ⁻μ⁺μ⁻ using LHCb data, with branching fraction determined.",LHCb,"['rare decays', 'J/ψ', 'muons', 'branching fraction', 'LHC']",1,,0.7,[]
2024-08-29 15:45:42,2024-08-29 15:45:42,,Flavor Dependence of Charged Pion Fragmentation Functions,The study measures flavor-dependent multiplicities for pi^+ and pi^- production in SIDIS to investigate charge symmetry violation in fragmentation functions.,Jefferson Lab,"['pion fragmentation', 'charge symmetry violation', 'semi-inclusive deep-inelastic scattering', 'flavor dependence']",1,,0.8,[]
2024-08-29 15:12:56,2024-08-29 15:12:56,,Distinguishing the sources of dielectron anisotropic flow at low beam energies,"The study analyzes dielectron anisotropic flow in heavy-ion collisions, focusing on distinguishing contributions from baryonic and mesonic resonances using different measurement methods.",HADES,"['dielectron flow', 'heavy-ion collisions', 'anisotropic flow', 'scalar product method', 'baryonic resonances', 'mesonic resonances']",1,,0.4,[]
2024-08-29 14:48:40,2024-08-29 14:48:40,,Strange stars admixed with dark matter: equiparticle model in a two fluid approach,This work investigates strange stars mixed with dark matter using a quark model and explores stable configurations with fermionic and bosonic dark matter.,,"['dark matter', 'strange stars', 'quark model', 'fermionic', 'bosonic']",1,,0.6,[]
2024-08-29 14:15:02,2024-08-29 14:15:02,,AAK24: Global QCD analysis on polarized parton distribution in the presence of $A_2$ asymmetry measurements,"The work presents a NLO QCD analysis focusing on polarized parton distribution functions using recent experimental data, emphasizing the role of semi-inclusive measurements.",,"['QCD', 'polarized parton distribution', 'DIS', 'SIDIS', 'symmetry breaking', 'uncertainties', 'Hessian method']",1,,0.8,[]
2024-08-29 13:53:16,2024-08-29 13:53:16,,On the Schwinger effect during axion inflation,"The work revisits Schwinger pair-production during axion inflation, improving predictions for gauge-field production efficiency and energy densities.",,"['Schwinger effect', 'axion inflation', 'gauge fields', 'pair production']",1,,0.7,[]
2024-08-29 13:39:30,2024-08-29 13:39:30,,Electromagnetic responses of a nonextensive quark-gluon plasma,The study investigates electromagnetic properties of a nonextensive quark-gluon plasma using kinetic theory to derive gluon self-energies and related indices.,,"['quark-gluon plasma', 'electromagnetic responses', 'kinetic theory', 'gluons', 'nonextensive statistics']",1,,0.8,[]
2024-08-29 12:09:55,2024-08-29 12:09:55,,Gravitational waves from thermal heavy scalar dark matter,The study presents a scalar dark matter candidate with a mass of 1-10 TeV and its implications for gravitational wave signals from phase transitions.,,"['dark matter', 'gravitational waves', 'electroweak phase transition', 'scalar particle']",1,,0.5,"['gauge singlet scalar', 'Higgs portal mediator', 'supercooling']"
2024-08-29 11:24:16,2024-08-29 11:24:16,,Event-activity-dependent beauty-baryon enhancement in simulations with color junctions,"The study explores the enhancement of beauty baryon-to-meson production ratios in LHC data, examining event activity and color reconnection models.","LHCb, ALICE","['beauty baryons', 'event activity', 'color reconnection', 'heavy flavor']",1,,0.6,[]
2024-08-29 11:05:20,2024-08-29 11:05:20,,Analysis of the semileptonic $B_c\to D_s^*μ^+ μ^-$ decay mode in the effective field theory approach,"The study explores the exclusive semileptonic decay $B_c\\to D_s^{*}\\mu^+ \\mu^-$ using Effective Field Theory, predicting observables and branching ratios amidst potential new physics.",Belle-II,"['semileptonic decay', 'Effective Field Theory', 'branching ratio', 'new physics', 'B_c', 'D_s*', 'b to s transition']",1,,0.7,[]
2024-08-29 08:12:28,2024-08-29 08:12:28,,Future targets for light gauge bosons from cosmic strings,"The study explores gauge boson production and gravitational wave emission from cosmic strings, examining their implications for dark matter and future observatories.",,"['cosmic strings', 'dark matter', 'gravitational waves', 'gauge bosons']",1,,0.6,[]
2024-08-29 06:21:38,2024-08-29 06:21:38,,Premerger phenomena in neutron-star binary coalescences,"The presentation reviews premerger events in neutron-star mergers, focusing on their implications for astrophysics and the neutron-star equation of state.",,"['neutron-star mergers', 'gravitational waves', 'gamma-ray bursts', 'astrophysics']",1,,0.7,[]
2024-08-29 06:02:11,2024-08-29 06:02:11,,Model-independent determination of the strong-phase difference between $D^0$ and $\bar{D}^0 \to π^+π^-π^+π^-$ decays,"This study measures the strong-phase difference in $D^0$ and $\bar{D}^0$ decays using quantum-correlated $D\bar{D}$ mesons, providing insights into $C\!P$ violation in $B$ meson decays.",BESIII,"['strong-phase difference', '$D^0$ decays', '$C\\!P$ violation', 'quantum correlations']",1,,0.7,[]
2024-08-29 04:34:38,2024-08-29 04:34:38,,Cosmological Stasis from a Single Annihilating Particle Species: Extending Stasis Into the Thermal Domain,"This work explores how a single annihilating particle species can lead to cosmological stasis even in thermal environments, extending previous findings.",,"['cosmology', 'stasis', 'thermal effects', 'particle species', 'annihilation']",1,,0.4,[]
2024-08-29 03:07:44,2024-08-29 03:07:44,,Upgrading the existing Haloscope-type detector for sensitive axion detection,The presentation discusses an upgrade to Haloscope-type detectors to enhance axion detection sensitivity using a transverse rf modulated magnetic field.,,"['Haloscope', 'axion detection', 'magnetic field', 'sensitivity enhancement']",1,,0.4,[]
2024-08-29 00:45:38,2024-08-29 00:45:38,,Development and Implementation of Advanced Beam Diagnostic and Abort Systems in SuperKEKB,"The talk discusses the development of advanced beam diagnostics and abort systems to address Sudden Beam Loss events at SuperKEKB, aiming to enhance operational stability.",SuperKEKB,"['beam diagnostics', 'abort systems', 'SuperKEKB', 'luminosity', 'Sudden Beam Loss']",1,,0.7,[]
